Instrument,CIK Number,Tangible Book Value - Utility,Retained Earnings (Accumulated Deficit),Market Value for Company,Total Debt,Total Current Assets,"Net Income/Starting Line, Cumulative","Total Assets, Reported",NAICS Industry Group Name,Inventories (CF),Company Common Name,Cash and Short Term Investments,Accounts Payable (CF),Net Debt Incl. Pref.Stock & Min.Interest,Delisted Quote Flag,Earnings Before Interest & Taxes (EBIT) (Pvt),Tangible Book Value Per Share,Net Sales,Tangible Book Value - Reported,Total Equity,Pricing Volatility,Depreciation And Amortization,Tangible Book Value - Insurance,Instrument Is Active Flag,Total Liabilities,Tangible Book Value - Banks,Operating Income,Total Current Liabilities
1513970,,,,219480000.0,,,,,,,,,,,,,,,,,,,,,,,,
1509253,1509253.0,,,167880000.0,,,,,Other Investment Pools and Funds,,Nuveen Short Duration Credit Opportunities Fund,,,,0.0,,,,,,,,,1.0,,,,
1509253,,,,144670000.0,,,,,,,,,,,,,,,,,,,,,,,,
1499735,1499735.0,178530.0,-15610280.0,10000.0,0.0,22690.0,-13854810.0,428390.0,Oil and Gas Extraction,,American Energy Development Corp,9680.0,,-9680.0,0.0,,0.00174,204450.0,178530.0,178530.0,,,178530.0,1.0,249870.0,178530.0,-13854820.0,249870.0
1499735,,178530.0,-15610280.0,0.0,0.0,22690.0,-13854810.0,428390.0,,,,9680.0,,-9680.0,,,0.00174,204450.0,178530.0,178530.0,,,178530.0,,249870.0,178530.0,-13854820.0,249870.0
1438035,1438035.0,-1966720.0,-8162400.0,10860000.0,656440.0,110.0,-901970.0,110.0,Oil and Gas Extraction,,Rangeford Resources Inc,110.0,583420.0,656510.0,1.0,,-0.09782,0.0,-1966720.0,-1966540.0,,,-1966720.0,0.0,1966650.0,-1966720.0,-881020.0,1310320.0
1438035,,-2338790.0,-9416060.0,2090000.0,1017500.0,50.0,-1253660.0,50.0,,,,50.0,408670.0,1017630.0,,,-0.11383,0.0,-2338790.0,-2338610.0,,,-2338790.0,,2338660.0,-2338790.0,-1218180.0,1334050.0
1518239,1518239.0,-318437890.0,-159058270.0,,436569310.0,493082550.0,-56478080.0,813936450.0,Other Information Services,-94374320.0,Cloudary Corp,299605810.0,83665220.0,401654420.0,,,-1.21861,393014070.0,-318437890.0,33165160.0,,,-318437890.0,,780771290.0,-318437890.0,-73082640.0,201865570.0
1518239,,-318437890.0,-159058270.0,,436569310.0,493082550.0,-56478080.0,813936450.0,,-94374320.0,,299605810.0,83665220.0,401654420.0,,,-1.21861,393014070.0,-318437890.0,33165160.0,,,-318437890.0,,780771290.0,-318437890.0,-73082640.0,201865570.0
1507051,1507051.0,111574950.0,45860430.0,131630000.0,0.0,119301920.0,911090.0,141861740.0,Motion Picture and Video Industries,-41300.0,Taomee Holdings Ltd,103173560.0,-1113530.0,-102889270.0,1.0,,0.15751,44254670.0,111574950.0,114850890.0,,,111574950.0,0.0,27010860.0,111574950.0,-3279840.0,26726570.0
1507051,,111574950.0,45860430.0,131630000.0,0.0,119301920.0,911090.0,141861740.0,,-41300.0,,103173560.0,-1113530.0,-102889270.0,,,0.15751,44254670.0,111574950.0,114850890.0,,,111574950.0,,27010860.0,111574950.0,-3279840.0,26726570.0
1485026,1485026.0,-19540780.0,-25270110.0,,20846720.0,2674520.0,-16222830.0,12450940.0,Basic Chemical Manufacturing,,PTTGC Innovation America Corp,564150.0,3481670.0,20282570.0,,,-0.85877,3815820.0,-19540780.0,-19540780.0,,,-19540780.0,,31991710.0,-19540780.0,-14427700.0,9158570.0
1485026,,-19540780.0,-25270110.0,,20846720.0,2674520.0,-16222830.0,12450940.0,,,,564150.0,3481670.0,20282570.0,,,-0.85877,3815820.0,-19540780.0,-19540780.0,,,-19540780.0,,31991710.0,-19540780.0,-14427700.0,9158570.0
1507154,1507154.0,47761910.0,-484860.0,30070000.0,120000.0,48572810.0,-396150.0,48572810.0,Other Investment Pools and Funds,,Nautilus Marine Acquisition Corp,18470.0,59170.0,101530.0,1.0,,7.96032,,47761910.0,47761910.0,,,47761910.0,0.0,810900.0,47761910.0,-468680.0,810900.0
1507154,,47761910.0,-484860.0,30070000.0,120000.0,48572810.0,-396150.0,48572810.0,,,,18470.0,59170.0,101530.0,,,7.96032,,47761910.0,47761910.0,,,47761910.0,,810900.0,47761910.0,-468680.0,810900.0
1424812,1424812.0,-28281000.0,-92241000.0,16840000.0,2313000.0,743000.0,-25214000.0,11686000.0,Scientific Research and Development Services,,Amarantus Bioscience Holdings Inc,176000.0,1469000.0,14056000.0,0.0,,-1.33544,0.0,-28281000.0,-5534000.0,,,-28281000.0,1.0,17220000.0,-28281000.0,-26117000.0,16107000.0
1424812,,-28281000.0,-92241000.0,2960000.0,2313000.0,743000.0,-25214000.0,11686000.0,,,,176000.0,1469000.0,14056000.0,,,-1.33544,0.0,-28281000.0,-5534000.0,,,-28281000.0,,17220000.0,-28281000.0,-26117000.0,16107000.0
1414953,1414953.0,-109190.0,-21392770.0,5240000.0,0.0,410280.0,-1267920.0,414740.0,Beverage Manufacturing,-278560.0,MOJO Organics Inc,38670.0,,-38670.0,0.0,,-0.00594,1331550.0,-109190.0,-109190.0,,,-109190.0,1.0,523930.0,-109190.0,-1268440.0,523930.0
1414953,,364330.0,-22625660.0,4130000.0,0.0,389320.0,-1232890.0,393840.0,,38300.0,,22360.0,,-22360.0,,,0.01366,1314720.0,364330.0,364330.0,,,364330.0,,29510.0,364330.0,-1235070.0,29510.0
1399480,1399480.0,1509080.0,-18219140.0,82160000.0,1037760.0,5440370.0,-9510950.0,5710170.0,Land Subdivision,,VRDT Corp,36450.0,,1001310.0,1.0,,0.01248,0.0,1509080.0,1509080.0,,3870.0,1509080.0,0.0,4201080.0,1509080.0,-9479300.0,4201080.0
1399480,,1509080.0,-18219140.0,82160000.0,1037760.0,5440370.0,-9510950.0,5710170.0,,,,36450.0,,1001310.0,,,0.01248,0.0,1509080.0,1509080.0,,3870.0,1509080.0,,4201080.0,1509080.0,-9479300.0,4201080.0
1429393,1429393.0,-640230.0,-21073010.0,20610000.0,671180.0,486610.0,-3272830.0,509790.0,Commercial and Service Industry Machinery Manufacturing,159700.0,Trutankless Inc,87130.0,-233410.0,584110.0,0.0,,-0.02699,429580.0,-640230.0,-626630.0,,,-640230.0,1.0,1136420.0,-640230.0,-2889390.0,988260.0
1429393,,-1445630.0,-23997140.0,16840000.0,1502340.0,683540.0,-2871970.0,702350.0,,-94650.0,,78600.0,162550.0,1423820.0,,,-0.05177,695860.0,-1445630.0,-1433630.0,,,-1445630.0,,2135980.0,-1445630.0,-2404800.0,1984620.0
1497572,1497572.0,-57963970.0,-58549450.0,260000.0,1230950.0,101480.0,-47769960.0,101480.0,Converted Paper Product Manufacturing,,Nano Labs Corp,0.0,,1230950.0,0.0,,-0.56207,0.0,-57963970.0,-57963970.0,,,-57963970.0,1.0,58065450.0,-57963970.0,-543940.0,58065450.0
1497572,,-57963970.0,-58549450.0,260000.0,1230950.0,101480.0,-47769960.0,101480.0,,,,0.0,,1230950.0,,,-0.56207,0.0,-57963970.0,-57963970.0,,,-57963970.0,,58065450.0,-57963970.0,-543940.0,58065450.0
1492683,1492683.0,-287280.0,-685180.0,220000.0,310840.0,73390.0,-719870.0,81190.0,Other Information Services,,Frogads Inc,17080.0,8430.0,293760.0,1.0,,-0.00317,580.0,-287280.0,-287280.0,,2120.0,-287280.0,0.0,368470.0,-287280.0,-701830.0,368470.0
1492683,,-287280.0,-685180.0,220000.0,310840.0,73390.0,-719870.0,81190.0,,,,17080.0,8430.0,293760.0,,,-0.00317,580.0,-287280.0,-287280.0,,2120.0,-287280.0,,368470.0,-287280.0,-701830.0,368470.0
919175,919175.0,-5273650.0,-23849710.0,60850000.0,961770.0,691540.0,-2458170.0,793280.0,Paper and Paper Product Merchant Wholesalers,149300.0,Sugarmade Inc,910.0,,2960860.0,0.0,,-0.02951,4348260.0,-5273650.0,-3273650.0,,,-5273650.0,1.0,4066920.0,-5273650.0,-2048850.0,4066930.0
919175,,-12205710.0,-34859800.0,58890000.0,2827950.0,1941430.0,-6296390.0,2187960.0,,36980.0,,42120.0,-23090.0,4785830.0,,,-0.04959,4439320.0,-12205710.0,-10193110.0,,,-12205710.0,,12381070.0,-12205710.0,-1352180.0,12381070.0
1495231,1495231.0,2616640.0,-41809720.0,25880000.0,0.0,10029020.0,-7560200.0,17022620.0,Other Information Services,,IZEA Worldwide Inc,5949000.0,443110.0,-5949000.0,0.0,,0.47958,21234300.0,2616640.0,8987860.0,,1299850.0,2616640.0,1.0,8034750.0,2616640.0,-7476340.0,7284020.0
1495231,,53030.0,-47277420.0,11830000.0,500550.0,7952070.0,-5467700.0,13627300.0,,,,3906800.0,318450.0,-3406250.0,,,0.00925,24437650.0,53030.0,5293590.0,,1516810.0,53030.0,,8333720.0,53030.0,-5476240.0,7706530.0
1367898,1367898.0,5547110.0,-20005240.0,10000.0,157720.0,2967620.0,-4169780.0,18942270.0,Elementary and Secondary Schools,,China Education International Inc,1700820.0,-384030.0,-1389660.0,1.0,,0.07902,7038110.0,5547110.0,14644620.0,,,5547110.0,0.0,4297640.0,5547110.0,-4256150.0,3142150.0
1367898,,5547110.0,-20005240.0,10000.0,157720.0,2967620.0,-4169780.0,18942270.0,,,,1700820.0,-384030.0,-1389660.0,,,0.07902,7038110.0,5547110.0,14644620.0,,,5547110.0,,4297640.0,5547110.0,-4256150.0,3142150.0
1490281,1490281.0,-53046000.0,-1099010000.0,2847850000.0,227603000.0,1091936000.0,-183323000.0,1761377000.0,Electronic Shopping and Mail-Order Houses,,Groupon Inc,862977000.0,5121000.0,-634732000.0,0.0,,-0.09391,3013615000.0,-53046000.0,264420000.0,,,-53046000.0,1.0,1496957000.0,-53046000.0,-100238000.0,1213051000.0
1490281,,-55212000.0,-1088204000.0,1826500000.0,234211000.0,1072448000.0,26627000.0,1677505000.0,,,,880129000.0,-199000.0,-645046000.0,,,-0.0986,2843877000.0,-55212000.0,250973000.0,,,-55212000.0,,1426532000.0,-55212000.0,26491000.0,1133499000.0
1524384,1524384.0,-173781000.0,-106717000.0,1760000.0,267493000.0,105913000.0,-119450000.0,460158000.0,Oil and Gas Extraction,229000.0,Iona Energy Inc,31565000.0,,235928000.0,,,-0.46894,90518000.0,-173781000.0,75501000.0,,,-173781000.0,,384657000.0,-173781000.0,-148048000.0,32243000.0
1524384,,-173781000.0,-106717000.0,1760000.0,267493000.0,105913000.0,-119450000.0,460158000.0,,229000.0,,31565000.0,,235928000.0,,,-0.46894,90518000.0,-173781000.0,75501000.0,,,-173781000.0,,384657000.0,-173781000.0,-148048000.0,32243000.0
1221554,1221554.0,-6531810.0,-19337020.0,22630000.0,502040.0,30230.0,-750960.0,63170.0,"Electric Power Generation, Transmission and Distribution",,3Power Energy Group Inc,19500.0,,149700.0,0.0,,-0.02381,,-6531810.0,-6531810.0,,3960.0,-6531810.0,1.0,6594980.0,-6531810.0,-592630.0,6927820.0
1221554,,-6531810.0,-19337020.0,31540000.0,502040.0,30230.0,-750960.0,63170.0,,,,19500.0,,149700.0,,,-0.02381,,-6531810.0,-6531810.0,,3960.0,-6531810.0,,6594980.0,-6531810.0,-592630.0,6927820.0
1411685,1411685.0,611800.0,-141998700.0,24330000.0,69100.0,3377900.0,-10255500.0,3712200.0,Scientific Research and Development Services,,VistaGen Therapeutics Inc,2921300.0,,-2848200.0,0.0,,0.06922,1250000.0,611800.0,615800.0,,37000.0,611800.0,1.0,3096400.0,611800.0,-10248500.0,1367500.0
1411685,,6912600.0,-156543800.0,46590000.0,65800.0,11023100.0,-14345900.0,11278300.0,,,,10378300.0,,-10308500.0,,,0.30143,0.0,6912600.0,6916600.0,,66000.0,6912600.0,,4361700.0,6912600.0,-14334600.0,1458500.0
1512074,1512074.0,3305000.0,-102006000.0,9150000.0,1274000.0,17115000.0,-4770000.0,27899000.0,Software Publishers,127000.0,RMG Networks Holding Corp,5142000.0,268000.0,-3868000.0,1.0,,0.29625,37601000.0,3305000.0,10085000.0,,3147000.0,3305000.0,0.0,17814000.0,3305000.0,-4611000.0,15224000.0
1512074,,1133000.0,-107199000.0,14390000.0,1250000.0,14247000.0,-5193000.0,21948000.0,,37000.0,,1538000.0,-747000.0,-288000.0,,,0.10156,37042000.0,1133000.0,5705000.0,,3074000.0,1133000.0,,16243000.0,1133000.0,-4880000.0,14112000.0
1517518,1517518.0,431660050.0,,368110000.0,168983150.0,,-3190720.0,650798330.0,Other Investment Pools and Funds,,Clearbridge Energy Midstream Opportunity Fund Inc,,4971750.0,168983150.0,0.0,,13.83701,-1434250.0,431660050.0,431660050.0,,,431660050.0,1.0,219138280.0,431660050.0,-17719240.0,
1517518,,354601810.0,,243640000.0,180163090.0,,-37127290.0,555186030.0,,,,,-5784230.0,180163090.0,,,11.36688,3325460.0,354601810.0,354601810.0,,,354601810.0,,200584220.0,354601810.0,-9958260.0,
1514991,1514991.0,-2282185000.0,295409000.0,3345550000.0,2823847000.0,1696343000.0,289963000.0,4480595000.0,Motion Picture and Video Industries,,AMC Networks Inc,481389000.0,-973193000.0,2590227000.0,0.0,,-33.28574,2755654000.0,-2282185000.0,-30082000.0,,84778000.0,-2282185000.0,1.0,4510677000.0,-2282185000.0,606917000.0,954178000.0
1514991,,-2346581000.0,766725000.0,3102320000.0,3130381000.0,1870004000.0,489637000.0,5032985000.0,,,,558783000.0,-996816000.0,2819203000.0,,,-38.41501,2805691000.0,-2346581000.0,134944000.0,,94638000.0,-2346581000.0,,4898041000.0,-2346581000.0,719355000.0,744102000.0
1492052,1492052.0,-626170.0,-16204630.0,675210000.0,0.0,16330.0,-580810.0,16330.0,Other Investment Pools and Funds,,VR Holdings Inc,280.0,86120.0,-280.0,1.0,,-0.0014,0.0,-626170.0,-626170.0,,,-626170.0,0.0,642500.0,-626170.0,-540380.0,642500.0
1492052,,-626170.0,-16204630.0,675210000.0,0.0,16330.0,-580810.0,16330.0,,,,280.0,86120.0,-280.0,,,-0.0014,0.0,-626170.0,-626170.0,,,-626170.0,,642500.0,-626170.0,-540380.0,642500.0
1493137,1493137.0,5816730.0,1331320.0,15950000.0,1495820.0,5269820.0,433150.0,8073450.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-33950.0,Lifeloc Technologies Inc,3772060.0,61610.0,-2276240.0,0.0,,2.37019,8381140.0,5816730.0,5888640.0,,,5816730.0,1.0,2184800.0,5816730.0,634980.0,720540.0
1493137,,5748860.0,1345930.0,12640000.0,1452290.0,4581090.0,14600.0,8091360.0,,-366990.0,,2669460.0,12510.0,-1217170.0,,,2.34253,7990740.0,5748860.0,5926100.0,,,5748860.0,,2165260.0,5748860.0,132640.0,745390.0
1335982,1335982.0,-285839000.0,-218317000.0,,317021000.0,120409000.0,-66501000.0,242774000.0,Other Telecommunications,3286000.0,Goodman Networks Inc,39832000.0,-62493000.0,277189000.0,,,-313.16242,725056000.0,-285839000.0,-204131000.0,,,-285839000.0,,446905000.0,-285839000.0,-21524000.0,112637000.0
1335982,,-285839000.0,-218317000.0,,317021000.0,120409000.0,-66501000.0,242774000.0,,3286000.0,,39832000.0,-62493000.0,277189000.0,,,-313.16242,725056000.0,-285839000.0,-204131000.0,,,-285839000.0,,446905000.0,-285839000.0,-21524000.0,112637000.0
1510593,1510593.0,376995000.0,-31572000.0,1026950000.0,0.0,412305000.0,-24183000.0,509795000.0,Computer Systems Design and Related Services,59000.0,Xunlei Ltd,381464000.0,15855000.0,-383452000.0,0.0,,1.14053,140985000.0,376995000.0,408238000.0,,2137000.0,376995000.0,1.0,101557000.0,376995000.0,-41502000.0,93405000.0
1510593,,357726000.0,-69394000.0,228840000.0,0.0,430783000.0,-37809000.0,533437000.0,,-2925000.0,,372394000.0,9037000.0,-374554000.0,,,1.07218,201911000.0,357726000.0,384997000.0,,2161000.0,357726000.0,,148440000.0,357726000.0,-54201000.0,141696000.0
1340127,1340127.0,-31645000.0,-165042000.0,701480000.0,0.0,83251000.0,-4099000.0,144759000.0,Software Publishers,,Carbonite Inc,59152000.0,-3345000.0,-59152000.0,0.0,,-1.15518,206986000.0,-31645000.0,5834000.0,,,-31645000.0,1.0,138925000.0,-31645000.0,-2784000.0,111898000.0
1340127,,-87687000.0,-169344000.0,872930000.0,111819000.0,157273000.0,-4002000.0,312819000.0,,,,128231000.0,5035000.0,-16412000.0,,,-3.11144,239462000.0,-87687000.0,38265000.0,,,-87687000.0,,274554000.0,-87687000.0,-12065000.0,132758000.0
1501489,1501489.0,222960.0,-3271690.0,745020000.0,0.0,566790.0,-611070.0,582800.0,Securities and Commodity Contracts Intermediation and Brokerage,,AF Ocean Investment Management Co,60740.0,-3030.0,-59740.0,1.0,,0.00075,270520.0,222960.0,224960.0,,5670.0,222960.0,0.0,357840.0,222960.0,-611780.0,357840.0
1501489,,222960.0,-3271690.0,745020000.0,0.0,566790.0,-611070.0,582800.0,,,,60740.0,-3030.0,-59740.0,,,0.00075,270520.0,222960.0,224960.0,,5670.0,222960.0,,357840.0,222960.0,-611780.0,357840.0
1468679,1468679.0,-2203270.0,-11424160.0,32290000.0,1561400.0,127280.0,-1881140.0,591920.0,Scientific Research and Development Services,,American Cryostem Corp,37250.0,,1524150.0,0.0,,-0.05935,593940.0,-2203270.0,-1946750.0,,39400.0,-2203270.0,1.0,2538680.0,-2203270.0,-1294330.0,1272990.0
1468679,,-1320620.0,-12646170.0,28170000.0,1090500.0,643240.0,-1222010.0,1009190.0,,-3010.0,,410340.0,,680160.0,,,-0.03042,1865360.0,-1320620.0,-1021560.0,,37480.0,-1320620.0,,2030750.0,-1320620.0,-1133700.0,1501910.0
1463101,1463101.0,-3309000.0,-250535000.0,206130000.0,33900000.0,117864000.0,-67462000.0,163576000.0,Semiconductor and Other Electronic Component Manufacturing,8840000.0,Enphase Energy Inc,17764000.0,,16136000.0,0.0,,-0.05314,322591000.0,-3309000.0,1300000.0,,,-3309000.0,1.0,162276000.0,-3309000.0,-62700000.0,82772000.0
1463101,,-13305000.0,-295727000.0,502930000.0,49751000.0,130446000.0,-45192000.0,169147000.0,,5961000.0,,29144000.0,,20607000.0,,,-0.15486,286166000.0,-13305000.0,-9126000.0,,,-13305000.0,,178273000.0,-13305000.0,-39378000.0,91741000.0
1535652,1535652.0,54959840.0,-68274340.0,65060000.0,0.0,12683520.0,-14375380.0,58412930.0,Metal Ore Mining,,Nickel Creek Platinum Corp,733850.0,,-733850.0,0.0,,0.27104,,54959840.0,54959840.0,,23240.0,54959840.0,1.0,3453090.0,54959840.0,-14493440.0,2996090.0
1535652,1510604.0,60486800.0,-71371670.0,21290000.0,0.0,9547650.0,-3651220.0,61958270.0,,,,9174480.0,,-9174480.0,,,0.25568,,60486800.0,60486800.0,,12710.0,60486800.0,,1471480.0,60486800.0,-4434930.0,924480.0
1511737,1511737.0,601327000.0,601159000.0,5528350000.0,256564000.0,952334000.0,257506000.0,972711000.0,Communications Equipment Manufacturing,-86988000.0,Ubiquiti Inc,604198000.0,-2554000.0,-347634000.0,0.0,,7.49075,865268000.0,601327000.0,601764000.0,,,601327000.0,1.0,370947000.0,601327000.0,289761000.0,98488000.0
1511737,,315288000.0,315281000.0,7041730000.0,484777000.0,1001352000.0,196290000.0,1022577000.0,,35974000.0,,666681000.0,-34596000.0,-181904000.0,,,4.25648,1016861000.0,315288000.0,315748000.0,,,315288000.0,,706829000.0,315288000.0,326127000.0,112916000.0
1490490,1490490.0,1170900.0,-707090.0,20590000.0,525320.0,,-199250.0,3609810.0,Lessors of Real Estate,,Huntwicke Capital Group Inc,209080.0,,747290.0,0.0,,0.58528,280750.0,1170900.0,1170900.0,,98450.0,1170900.0,1.0,2438910.0,1170900.0,-206470.0,
1490490,,1170900.0,-707090.0,33770000.0,525320.0,,-199250.0,3609810.0,,,,209080.0,,747290.0,,,0.58528,280750.0,1170900.0,1170900.0,,98450.0,1170900.0,,2438910.0,1170900.0,-206470.0,
1513363,1513363.0,353785000.0,,371800000.0,219439000.0,,41570000.0,586742000.0,Other Financial Investment Activities,,Fidus Investment Corp,57083000.0,3903000.0,162356000.0,0.0,,15.76155,60229000.0,353785000.0,353785000.0,,,353785000.0,1.0,232957000.0,353785000.0,27026000.0,
1513363,,393273000.0,,285970000.0,242475000.0,,43951000.0,646263000.0,,,,41572000.0,2102000.0,200903000.0,,,16.04676,68615000.0,393273000.0,393273000.0,,,393273000.0,,252990000.0,393273000.0,33897000.0,
1432001,1432001.0,-218720.0,-17902540.0,370000.0,0.0,447780.0,-3322370.0,901220.0,Oil and Gas Extraction,,American Sands Energy Corp,191460.0,230450.0,-187340.0,1.0,,-0.00655,0.0,-218720.0,-214600.0,,,-218720.0,0.0,1115820.0,-218720.0,-2693140.0,423960.0
1432001,,-218720.0,-17902540.0,550000.0,0.0,447780.0,-3322370.0,901220.0,,,,191460.0,230450.0,-187340.0,,,-0.00655,0.0,-218720.0,-214600.0,,,-218720.0,,1115820.0,-218720.0,-2693140.0,423960.0
1364962,1364962.0,186122000.0,-276819000.0,1350350000.0,0.0,332243000.0,-70279000.0,408819000.0,Computer Systems Design and Related Services,-16000.0,Imperva Inc,261092000.0,-1398000.0,-261092000.0,0.0,,5.62489,264455000.0,186122000.0,231963000.0,,1408000.0,186122000.0,0.0,176856000.0,186122000.0,-69030000.0,138094000.0
1364962,,275544000.0,-256537000.0,1973470000.0,0.0,450629000.0,22869000.0,528062000.0,,-93000.0,,359531000.0,115000.0,-359531000.0,,,8.04887,321716000.0,275544000.0,315117000.0,,714000.0,275544000.0,,212945000.0,275544000.0,-13683000.0,166373000.0
1403528,1403528.0,805905000.0,54494000.0,6579670000.0,4284063000.0,,566103000.0,7649110000.0,Other Financial Investment Activities,,Oaktree Capital Group LLC,291470000.0,,5415906000.0,0.0,,5.20643,1125746000.0,805905000.0,805905000.0,,16222000.0,805905000.0,0.0,6843205000.0,805905000.0,336410000.0,
1403528,,868984000.0,80128000.0,6246210000.0,4828267000.0,,689482000.0,9014796000.0,,,,481631000.0,,6358817000.0,,,5.56022,1469767000.0,868984000.0,868984000.0,,15776000.0,868984000.0,,8145812000.0,868984000.0,444424000.0,
1509879,1509879.0,-11233690.0,-36226350.0,7280000.0,16509510.0,787980.0,-19209480.0,16614050.0,Land Subdivision,,ROI Land Investments Ltd,557970.0,,16525700.0,1.0,,-0.20814,0.0,-11233690.0,-10659530.0,,,-11233690.0,0.0,27273580.0,-11233690.0,-17232990.0,19251140.0
1509879,,-23339480.0,-47032260.0,5020000.0,22757720.0,3194300.0,-10344460.0,25790140.0,,,,2129740.0,,26741880.0,,,-0.41751,43430.0,-23339480.0,-19064800.0,,,-23339480.0,,44854940.0,-23339480.0,-6670840.0,32500420.0
1523671,1523671.0,975680.0,-11082960.0,8900000.0,0.0,1157780.0,-2275000.0,1157780.0,Metal Ore Mining,,Stakeholder Gold Corp,1031720.0,,-1031720.0,0.0,,0.05019,,975680.0,975680.0,,,975680.0,1.0,182100.0,975680.0,-2281450.0,182100.0
1523671,,223460.0,-13349950.0,1680000.0,0.0,837130.0,-2266990.0,837130.0,,,,767690.0,,-767690.0,,,0.00947,,223460.0,223460.0,,,223460.0,,613660.0,223460.0,-2268240.0,613660.0
1577785,1577785.0,,,,,,,,Petroleum and Coal Products Manufacturing,,Flint Hills Resources Houston Chemical LLC,,,,,,,,,,,,,,,,,
847416,847416.0,-7102990.0,-13883560.0,1690000.0,10247990.0,36510.0,-3916290.0,6669290.0,Oil and Gas Extraction,,Eagle Ford Oil & Gas Corp,3800.0,1248380.0,10244190.0,0.0,,-0.17712,4800.0,-7102990.0,-7102990.0,,5000.0,-7102990.0,1.0,13772280.0,-7102990.0,-3014990.0,13747470.0
847416,,-7102990.0,-13883560.0,530000.0,10247990.0,36510.0,-3916290.0,6669290.0,,,,3800.0,1248380.0,10244190.0,,,-0.17712,4800.0,-7102990.0,-7102990.0,,5000.0,-7102990.0,,13772280.0,-7102990.0,-3014990.0,13747470.0
1520470,1520470.0,25961000.0,-38585000.0,19040000.0,659000.0,168000.0,-2221000.0,29048000.0,Metal Ore Mining,,Lupaka Gold Corp,112000.0,205000.0,547000.0,0.0,,0.22482,,25961000.0,25961000.0,,,25961000.0,1.0,3087000.0,25961000.0,-2111000.0,2143000.0
1520470,,11209000.0,-53548000.0,10980000.0,811000.0,5755000.0,-14883000.0,19090000.0,,,,5453000.0,-389000.0,-4642000.0,,,0.09665,,11209000.0,11209000.0,,37000.0,11209000.0,,7881000.0,11209000.0,-2410000.0,2198000.0
1102414,1102414.0,-47234010.0,-37649830.0,90000.0,36726150.0,752040.0,-3935160.0,5619040.0,Basic Chemical Manufacturing,,Westport Energy Holdings Inc,54160.0,,36672910.0,1.0,,-81.67029,0.0,-47234010.0,-47233090.0,,,-47234010.0,0.0,52852130.0,-47234010.0,-731640.0,52852130.0
1102414,,-47234010.0,-37649830.0,90000.0,36726150.0,752040.0,-3935160.0,5619040.0,,,,54160.0,,36672910.0,,,-81.67029,0.0,-47234010.0,-47233090.0,,,-47234010.0,,52852130.0,-47234010.0,-731640.0,52852130.0
728385,728385.0,-4353390.0,-43763380.0,18720000.0,14503460.0,12113220.0,-16883020.0,15877720.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",2106840.0,Midwest Energy Emissions Corp,7751560.0,,6751900.0,0.0,,-0.05922,32345540.0,-4353390.0,-3658240.0,,,-4353390.0,1.0,19535970.0,-4353390.0,-12047390.0,6572010.0
728385,,-7394120.0,-46666650.0,18300000.0,13923610.0,6357760.0,-2903270.0,12056080.0,,-50510.0,,2418430.0,,11505180.0,,,-0.09698,27499080.0,-7394120.0,-4424790.0,,,-7394120.0,,16480870.0,-7394120.0,11050.0,6579860.0
1479750,1479750.0,1023177000.0,247758000.0,2009400000.0,135613000.0,,58164000.0,9930657000.0,Depository Credit Intermediation,,Capital Bank Financial Corp,,,,1.0,,19.76581,,1023177000.0,1292047000.0,,,1023177000.0,0.0,8638610000.0,1023177000.0,,
1479750,,1023177000.0,247758000.0,2009400000.0,135613000.0,,58164000.0,9930657000.0,,,,,,,,,19.76581,,1023177000.0,1292047000.0,,,1023177000.0,,8638610000.0,1023177000.0,,
1145986,1145986.0,115564000.0,-417524000.0,115350000.0,39000.0,50186000.0,-12023000.0,134669000.0,Plastics Product Manufacturing,-6336000.0,Aspen Aerogels Inc,18086000.0,105000.0,-18047000.0,0.0,,4.94501,117738000.0,115564000.0,115564000.0,,,115564000.0,1.0,19105000.0,115564000.0,-11220000.0,18130000.0
1145986,,100943000.0,-437145000.0,51060000.0,3750000.0,47662000.0,-19321000.0,123815000.0,,3953000.0,,10694000.0,1269000.0,-6944000.0,,,4.26943,111631000.0,100943000.0,100943000.0,,,100943000.0,,22872000.0,100943000.0,-19136000.0,21569000.0
1519061,1519061.0,238223000.0,258540000.0,3172960000.0,1165369000.0,1432886000.0,318312000.0,2409490000.0,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",-50966000.0,Trinseo SA,465114000.0,57115000.0,700255000.0,0.0,,5.37737,3716600000.0,238223000.0,445053000.0,,,238223000.0,1.0,1964437000.0,238223000.0,498200000.0,542170000.0
1519061,,394800000.0,527900000.0,1937440000.0,1172000000.0,1646200000.0,328300000.0,2772000000.0,,-80200000.0,,432800000.0,9300000.0,739200000.0,,,9.09677,4448100000.0,394800000.0,674800000.0,,,394800000.0,,2097200000.0,394800000.0,459700000.0,626600000.0
1502772,1502772.0,,,260000.0,,,,,Oil and Gas Extraction,,Blue Water Petroleum Corp,,,,0.0,,,,,,,,,1.0,,,,
1502772,,,,260000.0,,,,,,,,,,,,,,,,,,,,,,,,
